area,accident,clear,cloudy,rain,fog,snow,etc,unkown
seoul,death,1654,182,200,0,18,12,0
seoul,injuty,316210,21453,30581,610,4292,168924,835629
seoul,acccount,219408,14599,19971,337,2749,114250,576803
busan,death,886,61,122,1,8,3,0
busan,injuty,127723,5701,13770,122,439,67172,244021
busan,acccount,87284,3834,8836,70,291,44221,164252
daegu,death,776,38,82,3,5,3,0
daegu,injuty,114360,4485,11725,94,1001,57596,229387
daegu,acccount,78820,3008,7387,64,621,37888,155188
incheon,death,736,59,78,3,5,1,0
incheon,injuty,100906,5005,8869,252,1937,61484,274987
incheon,acccount,63981,3086,5379,146,1103,37619,176817
gwangju,death,423,45,79,1,13,4,0
gwangju,injuty,75821,4220,7673,143,2005,32581,164313
gwangju,acccount,46310,2602,4563,78,1169,19044,101276
daejeon,death,412,55,65,2,4,0,0
daejeon,injuty,58603,3435,5620,39,1250,37748,170664
daejeon,acccount,36959,2070,3461,28,714,22655,105174
ulsan,death,446,34,69,0,5,1,0
ulsan,injuty,44478,2253,5384,18,332,20606,108995
ulsan,acccount,29578,1482,3472,13,197,13295,73135
seajong,death,48,5,1,1,0,0,0
seajong,injuty,1769,106,204,22,49,155,1981
seajong,acccount,1026,73,117,17,27,56,1188
gyeonggi,death,3826,441,484,46,60,30,0
gyeonggi,injuty,400398,23788,39977,2455,8072,225604,1199091
gyeonggi,acccount,251098,14446,23085,1176,4805,135501,741329
gangwon,death,976,106,151,8,22,9,0
gangwon,injuty,75464,6387,9509,297,2639,28933,154364
gangwon,acccount,44472,3523,5120,147,1340,15652,87079
chungbuk,death,1072,88,143,18,22,3,0
chungbuk,injuty,76059,4245,7254,322,1708,32045,152736
chungbuk,acccount,46184,2516,4039,173,953,18652,91154
chungnam,death,1680,206,213,35,38,18,0
chungnam,injuty,79721,6142,8935,726,2607,44968,241569
chungnam,acccount,48284,3690,4927,371,1357,23745,135075
jeonbuk,death,1413,174,173,13,35,7,0
jeonbuk,injuty,79313,6489,9208,366,2535,31948,181348
jeonbuk,acccount,49247,4006,5390,223,1377,17880,108793
jeonnam,death,1697,173,235,18,25,33,0
jeonnam,injuty,84318,5491,10123,365,1830,27144,135557
jeonnam,acccount,50436,3237,5686,191,938,15242,80152
kyungbuk,death,2247,189,313,13,29,14,0
kyungbuk,injuty,121048,7616,14793,345,1966,49833,220158
kyungbuk,acccount,78664,4754,8864,201,1137,29940,137014
kyungnam,death,1852,187,258,13,16,11,0
kyungnam,injuty,122498,5706,13978,265,692,58473,246057
kyungnam,acccount,81556,3838,8757,172,386,35967,157047
jaeju,death,377,58,53,4,1,5,0
jaeju,injuty,28572,2446,4125,126,747,10843,38996
jaeju,acccount,19013,1644,2570,72,402,6533,24167
who,death,0,0,0,0,0,0,0
who,injuty,59454,3009,6059,552,1897,222794,206528
who,acccount,36476,1812,3369,302,991,134885,127362